09-2003,I,Adelaide,Denpasar,Garuda Indonesia,DPS-ADL-MEL,Indonesia,SE Asia,Indonesia,SE Asia,0,13,3809
09-2003,I,Adelaide,Hong Kong,Cathay Pacific Airways,HKG-ADL-MEL,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,8,2008
09-2003,I,Adelaide,Kuala Lumpur,Malaysia Airlines,KUL-ADL,Malaysia,SE Asia,Malaysia,SE Asia,0,17,4726
09-2003,I,Adelaide,Singapore,Qantas Airways,SIN-DRW-ADL-MEL,Singapore,SE Asia,Singapore,SE Asia,1,4,908
09-2003,I,Adelaide,Singapore,Qantas Airways,SIN-DRW-ADL-SYD,Singapore,SE Asia,Singapore,SE Asia,1,9,2038
09-2003,I,Adelaide,Singapore,Singapore Airlines,SIN-ADL,Singapore,SE Asia,Singapore,SE Asia,0,12,3876
09-2003,I,Brisbane,Auckland,Air New Zealand,AKL-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,36,12624
09-2003,I,Brisbane,Auckland,Freedom Air International,AKL-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,18,2556
09-2003,I,Brisbane,Auckland,Garuda Indonesia,AKL-BNE-DPS,New Zealand,New Zealand,New Zealand,New Zealand,0,8,2296
09-2003,I,Brisbane,Auckland,Malaysia Airlines,AKL-BNE-KUL,New Zealand,New Zealand,New Zealand,New Zealand,0,14,5404
09-2003,I,Brisbane,Auckland,Qantas Airways,LAX-AKL-BNE,New Zealand,New Zealand,USA,N America,0,18,7733
09-2003,I,Brisbane,Auckland,Qantas Airways,LAX-AKL-BNE-SYD,New Zealand,New Zealand,USA,N America,0,12,5136
09-2003,I,Brisbane,Auckland,Thai Airways International,AKL-BNE-BKK,New Zealand,New Zealand,New Zealand,New Zealand,0,13,3705
09-2003,I,Brisbane,Bandar Seri Begawan,Royal Brunei Airlines,BWN-BNE,Brunei,SE Asia,Brunei,SE Asia,0,18,3564
09-2003,I,Brisbane,Bangkok,Thai Airways International,BKK-BNE-AKL,Thailand,SE Asia,Thailand,SE Asia,0,13,3705
09-2003,I,Brisbane,Christchurch,Air New Zealand,CHC-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,8,1086
09-2003,I,Brisbane,Christchurch,Freedom Air International,CHC-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,29,4118
09-2003,I,Brisbane,Christchurch,Qantas Airways,CHC-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,13,2590
09-2003,I,Brisbane,Denpasar,Garuda Indonesia,DPS-BNE,Indonesia,SE Asia,Indonesia,SE Asia,0,5,1465
09-2003,I,Brisbane,Denpasar,Garuda Indonesia,DPS-BNE-AKL,Indonesia,SE Asia,Indonesia,SE Asia,0,8,2296
09-2003,I,Brisbane,Dunedin,Freedom Air International,DUD-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,13,1778
09-2003,I,Brisbane,Hamilton,Freedom Air International,HLZ-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,20,2714
09-2003,I,Brisbane,Hong Kong,Cathay Pacific Airways,HKG-BNE,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,4,1244
09-2003,I,Brisbane,Hong Kong,Cathay Pacific Airways,HKG-BNE-CNS,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,8,2488
09-2003,I,Brisbane,Hong Kong,Cathay Pacific Airways,HKG-CNS-BNE,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,1,8,2488
09-2003,I,Brisbane,Honiara,Solomon Airlines,HIR-BNE,Solomon Islands,Islands,Solomon Islands,Islands,0,9,1224
09-2003,I,Brisbane,Kuala Lumpur,Malaysia Airlines,KUL-BNE,Malaysia,SE Asia,Malaysia,SE Asia,0,12,2748
09-2003,I,Brisbane,Kuala Lumpur,Malaysia Airlines,KUL-BNE-AKL,Malaysia,SE Asia,Malaysia,SE Asia,0,13,5018
09-2003,I,Brisbane,Los Angeles,Qantas Airways,LAX-AKL-BNE,USA,N America,USA,N America,1,18,7733
09-2003,I,Brisbane,Los Angeles,Qantas Airways,LAX-AKL-BNE-SYD,USA,N America,USA,N America,1,12,5136
09-2003,I,Brisbane,Manila,Qantas Airways,MNL-BNE-SYD,Philippines,SE Asia,Philippines,SE Asia,0,4,908
09-2003,I,Brisbane,Nadi,Fiji Airways,NAN-BNE,Fiji,Islands,Fiji,Islands,0,30,4478
09-2003,I,Brisbane,Nauru,Our Airline,INU-BNE,Nauru,Islands,Nauru,Islands,0,5,550
09-2003,I,Brisbane,Nauru,Our Airline,INU-BNE-MEL,Nauru,Islands,Nauru,Islands,0,4,440
09-2003,I,Brisbane,Noumea,Air Caledonie,NOU-BNE,New Caledonia,Islands,New Caledonia,Islands,0,7,1027
09-2003,I,Brisbane,Noumea,Qantas Airways,NOU-BNE,New Caledonia,Islands,New Caledonia,Islands,0,4,560
09-2003,I,Brisbane,Osaka,Japan Airlines,OSA-BNE-SYD,Japan,NE Asia,Japan,NE Asia,0,30,14326
09-2003,I,Brisbane,Palmerston,Freedom Air International,PMR-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,17,2279
09-2003,I,Brisbane,Port Moresby,Air Niugini,POM-BNE,Papua New Guinea,Islands,Papua New Guinea,Islands,0,17,3910
09-2003,I,Brisbane,Port Moresby,Air Niugini,POM-BNE-SYD,Papua New Guinea,Islands,Papua New Guinea,Islands,0,8,1840
09-2003,I,Brisbane,Port Vila,Air Vanuatu,VLI-BNE,Vanuatu,Islands,Vanuatu,Islands,0,13,1638
09-2003,I,Brisbane,Queenstown,Air New Zealand,ZQN-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,3,408
09-2003,I,Brisbane,Queenstown,Qantas Airways,ZQN-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,4,382
09-2003,I,Brisbane,Seoul,Korean Air,SEL-BNE,Korea,NE Asia,Korea,NE Asia,0,8,2094
09-2003,I,Brisbane,Singapore,Qantas Airways,SIN-BNE,Singapore,SE Asia,Singapore,SE Asia,0,22,9284
09-2003,I,Brisbane,Singapore,Qantas Airways,SIN-BNE-SYD,Singapore,SE Asia,Singapore,SE Asia,0,8,2596
09-2003,I,Brisbane,Singapore,Singapore Airlines,SIN-BNE,Singapore,SE Asia,Singapore,SE Asia,0,60,19380
09-2003,I,Brisbane,Taipei,China Airlines,TPE-BNE,Taiwan,NE Asia,Taiwan,NE Asia,0,5,1380
09-2003,I,Brisbane,Taipei,Eva Air,TPE-BNE,Taiwan,NE Asia,Taiwan,NE Asia,0,9,2034
09-2003,I,Brisbane,Tokyo,Japan Airlines,TYO-BNE,Japan,NE Asia,Japan,NE Asia,0,30,12734
09-2003,I,Brisbane,Wellington,Freedom Air International,WLG-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,25,3275
09-2003,I,Brisbane,Wellington,Qantas Airways,WLG-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,13,1560
09-2003,I,Cairns,Auckland,Air New Zealand,AKL-CNS,New Zealand,New Zealand,New Zealand,New Zealand,0,9,3040
09-2003,I,Cairns,Fukuoka,Australian Airlines,FUK-CNS,Japan,NE Asia,Japan,NE Asia,0,3,771
09-2003,I,Cairns,Fukuoka,Australian Airlines,FUK-OSA-CNS-OOL,Japan,NE Asia,Japan,NE Asia,1,10,2710
09-2003,I,Cairns,Guam,Continental Micronesia,GUM-CNS,Guam,Islands,Guam,Islands,0,13,2002
09-2003,I,Cairns,Hong Kong,Australian Airlines,HKG-CNS,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,8,2136
