GNL,135 Airways,GENERAL,United States
RNX,1Time Airline,NEXTIME,South Africa
WYT,2 Sqn No 1 Elementary Flying Training School,WYTON,United Kingdom
CHD,223 Flight Unit State Airline,CHKALOVSK-AVIA,Russia
TTF,224th Flight Unit,CARGO UNIT,Russia
TWF,247 Jet Ltd,CLOUD RUNNER,United Kingdom
SEC,3D Aviation,SECUREX,United States
MLA,40-Mile Air,MILE-AIR,United States
QRT,4D Air,QUARTET,Thailand
PIU,43 Air School,PRIMA,South Africa
ATT,Attawasol Airlines,ATTAWASOL AIR,Libya
EDY,Apollo Air Service,STOBART,United Kingdom
IWY,Air Turks and Caicos,ISLANDWAYS,Turks and Caicos Islands
JAT,Air Serbia,JAT,Serbia
LYN,Air Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
CCM,Air Corsica,CORSICA,France
AHS,AHS Air International,HIGH SKY,Pakistan
ROO,Aero Roa,AERO ROA,Mexico
SUP,Aeronautical Charters,SUN SPEED,United States
PSO,Aerotaxis Pegaso,AEROPEGASO,Mexico
VLB,Air Volta,VOLTA,Bulgaria
FCJ,AirSprint US,FRACJET,United States
GBT,A-Jet Aviation Aircraft Management,GLOBETROTTER,Austria
AJR,A-Jet Aviation Company,JET MONGOLIA,Mongolia
SFM,A-Safar Air Services,AIR SAFAR,Nigeria
TEW,Airteam Charter,TEAMWORK,South Africa
STT,Alpha Star Charter,STAR CHARTER,Saudi Arabia
HEZ,Arrow Aviation,ARROW,Israel
DRO,Adro Servicios Aereos,ADRO SERVICIOS,Mexico
RVQ,Aero Jet International,REVA AIR,United States
ASK,Aerosky,MULTISKY,Spain
AEH,Aero4m,AEROCUTTER,Slovenia
XAU,Aerolink Uganda,PEARL,Uganda
NKY,Aeromonkey,AEROMON,Mexico
AGA,AG Air,GEOLINE,Georgia
ABZ,Air Ambulcance Services,ISLAND LIFEFLIGHT,Bahamas
ROU,Air Canada Rouge,ROUGE,Canada
CNM,Air China Inner Mongolia,MENGYUAN,China
VRE,Air Côte d'Ivoire,COTE DIVORIE,Ivory Coast
OES,ART Aviation,ART AUSTRIA,Austria
ASF,Austrian Air Force,AUSTRIAN AIRFORCE,Austria
AVG,Aviation Legacy,AVILEF,Gambia
AZY,Aztec Worldwide Airlines,AZTEC WORLD,United States
AAB,Abelag Aviation,ABG,Belgium
ACX,Air Cargo Germany,LOADMASTER,Germany
AAD,Aero Aviation Centre Ltd.,SUNRISE,Canada
SII,Aero Servicios Ejecutivos Internacionales,ASEISA,Mexico
BZS,Aero Biniza,BINIZA,Mexico
ACO,Aero Comondu,AERO COMONDU,Mexico
AET,Aero-Palma,AERO PALMA,Spain
ABM,Aero Albatros,ALBATROS ESPANA,Spain
RSO,Aero Asia International,AERO ASIA,Pakistan
AAF,Aigle Azur,AIGLE AZUR,France
AAM,Aviation Management Corporation,AM CORP,United States
AAO,Atlantis Airlines (USA),ATLANTIS AIR,United States
AAP,Aerovista Airlines,AEROVISTA GROUP,Kyrgyzstan
AAR,Asiana Airlines,ASIANA,Republic of Korea
AAS,Askari Aviation,AL-ASS,Pakistan
AAU,Australia Asia Airlines,AUSTASIA,Australia
AAV,Astro Air International,ASTRO-PHIL,United States
AAW,Afriqiyah Airways,AFRIQIYAH,Libya
AFU,Afrinat International Airlines,AFRINAT,Gambia
AAX,Afric'air Express,AFREX,Côte d'Ivoire
BRL,Air Brasd'or,BRASD'OR,Canada
AFH,Air Fecteau,FECTO,Canada
BRM,Air 500,BOOMERANG,Canada
AAG,Air Atlantique,ATLANTIC,United Kingdom
AAJ,Air Alma,AIR ALMA,Canada
ADT,Air Dorval,AIR DORVAL,Canada
AHN,Air Hungaria,AIR HUNGARIA,Hungary
AHR,Air Adriatic,ADRIATIC,Croatia
AHK,Air Hong Kong,AIR HONG KONG,Hong Kong
AHS,Air Viggi San Raffaele,AIRSAR,Italy
